Word	Gender	Person	Tense	Number	Mood	syntax	VerbForm	Case	PronType	Foreign
Lyzeum	0.008071156996635187	0.0	0.0	0.006116265326381098	0.0	0.8329605730110675	0.0	0.5730675134507939	0.0	0.0
Manschette	0.01763222412929788	0.0	0.0	0.04836891538829435	0.0	0.08037437124059554	0.0	0.0884971292184854	0.0	0.0
Mißklang	0.0	0.0	0.0	0.0	0.0	0.2006712818467612	0.0	0.09776341528788335	0.0	0.0
Mulatte	0.014765571634920649	0.05131670194948623	0.0	0.1337293420225084	0.0	0.09001005951367735	0.0	0.03101739982864382	0.0	0.0
Naturschönheit	0.016403505408665198	0.0	0.0	0.006840827876731681	0.0	0.10586574318754216	0.0	0.1337742664872782	0.0	0.0
Ohrwurm	0.0	0.0	0.0	0.0	0.0	0.09481845061793293	0.0	0.02281090573216471	0.0	0.0
Pachtzins	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
packen	0.031204736834873015	0.0	0.03380606457428692	0.03818879463034519	0.0	0.00819111450872978	0.00032332185850691975	0.04165477939270701	0.0	0.0
Rezeption	0.0	0.0	0.0	0.0	0.0	0.09629939059800274	0.0	0.24548790182888836	0.0	0.0
Schmiere	0.038838686333093064	0.0	0.0	0.010050506338833531	0.0	0.5645351568385462	0.0	0.01567306166543414	0.0	0.0
Seminar	0.04054213322070521	0.0	0.0	0.033068218097834445	0.0	0.08485098517413303	0.0	0.03931058591607506	0.0	0.0
Sensation	0.00016550674690507527	0.0	0.0	0.0006402800393878749	0.0	0.07505860817936416	0.0	0.0057549409102788385	0.0	0.0
Spielball	0.0	0.0	0.0	0.0	0.0	0.17284024508510154	0.0	0.1427235807661431	0.0	0.0
Tier	8.944763279905565e-05	0.0	0.0	0.019591677380381367	0.0	0.01841590820965089	0.16794970566215628	0.021411248244191716	0.0	0.0
Titel	0.0	0.0	0.0	0.002323984750576602	0.0	0.013261157776747856	0.0	0.02075521199680197	0.0	0.0
Tragfähigkeit	0.0	0.0	0.0	0.0	0.0	0.07742427746392289	0.0	0.11738153473341395	0.0	0.0
Truppenteil	0.011011815436857697	0.0	0.0	0.2740015687050238	0.0	0.2110398086197307	0.0	0.2171936623910532	0.0	0.0
überspannen	0.0	0.0	0.0	0.002945514498418511	0.0	0.19640224470101852	0.0012245255090372886	0.22848325018954052	0.0	0.0
Unentschlossenheit	0.0	0.0	0.0	0.0	0.0	0.05673336946877161	0.0	0.02366659283426864	0.0	0.0
verbauen	0.29289321881345254	0.0	0.10557280900008414	0.5211478693194267	0.0	0.023939128471489823	0.04241139039567732	0.29289321881345254	0.0	0.0
vergönnen	0.0	0.0	0.003056542855778166	0.0	0.0	0.01715075735516214	0.010660121220634533	0.0	0.0	0.0
voranstellen	0.0	0.0	0.2928932188134524	0.00030469226788931714	0.0004879239129211843	0.025989888331816147	0.006250948573695236	0.0	0.0	0.0
vorliegen	0.018639529732353832	0.0	0.006566025702988809	0.0029218744283359133	0.0	0.007915155225005632	0.0012965252151002638	0.009848137045554095	0.0	0.0
vorweisen	0.10557280900008414	0.0	0.5984105644009843	0.6164963647045322	0.0	0.06500287580372566	0.349155758831975	0.7642977396044842	0.0	0.0
weitgreifend	0.006522710111146801	0.0	0.0	0.008793219737812219	0.0	0.00474963980773957	0.0	0.03411629929733151	0.0	0.0
zersetzen	0.5381197846482995	0.0	1.1657125138953006e-05	0.06315848527264312	0.0	0.06962409374718659	0.17340915686003933	0.10557280900008414	0.0	0.0
