Word	Aspect	Animacy	Person	Variant	Polarity	Foreign	Number	Mood	Degree	Voice	Gender	syntax	VerbForm	Case	Tense
живот	0.0	0.0	0.0	0.0	0.0	0.0	0.0007877701424496841	0.0	0.0	0.0	7.486333775119647e-11	0.006893383765236072	0.0	0.005913536179569134	0.0
заблуждение	0.0	0.0	0.0	0.0	0.0	0.0	0.011044422724614145	0.0	0.0	0.0	0.0	0.005053463513175038	0.0	0.004087333630558576	0.0
издательство	0.0	0.0	0.0	0.0	0.0	0.0	0.001877947999543328	0.0	0.0	0.0	0.0	0.0023087049172380025	0.0	0.001159066577825385	0.0
итальянец	0.0	3.0976215356082193e-06	0.0	0.0	0.0	0.0	0.0032742916169055114	0.0	0.0	0.0	0.0	0.007664342415544145	0.0	0.00274613587118111	0.0
кабан	0.0	0.003023764809930163	0.0	0.0	0.0	0.0	0.025670793338647524	0.0	0.0	0.029857499854668124	0.0	0.0038530082424326206	0.029857499854668124	0.01179537263919983	0.029857499854668124
карман	0.0	0.0	0.0	0.0	0.0	0.0	0.00016991248399100822	0.0	0.0	0.01941932430907989	1.675844821469319e-06	0.0009347165767824572	0.01941932430907989	0.005128928852050185	0.01941932430907989
крушение	0.0	0.0	0.0	0.0	0.0	0.0	0.00011407816919883906	0.0	0.0	0.0	0.0	0.013494835713539488	0.0	0.011819813622620412	0.0
крыша	0.000770791577217933	0.00022369607468930575	0.0	0.0	0.0	0.0	0.006769714122339288	0.0	0.0692027099827135	0.0	3.289908910264483e-05	0.006175611355935473	0.00018710140621380766	0.004653321859466986	0.000770791577217933
кулиса	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08677667902268615	0.0	0.0	0.0
лечение	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005546948501362281	0.0	0.00234270416920912	0.0
линейка	0.0	0.0	0.0	0.0	0.0	0.0	0.0009230838671675512	0.0	0.0	0.0	0.0	0.02781045070976529	0.0	0.007315209765656916	0.0
лишение	0.0	0.0	0.0	0.0	0.0	0.0	0.22285058113665102	0.0	0.0	0.0	0.0	0.02689796646153242	0.0	0.1330947478955541	0.0
локоть	0.029389010052993325	0.0	0.0	0.0	0.0	0.0	0.002072461894291222	0.0	0.0	0.0	1.3588795442220913e-06	0.005608622615210557	0.020517983195727063	0.0024619240913869023	0.02053491724118417
любовник	0.0	0.00044706741286348883	0.0	0.0	0.0	0.0	6.08416485731178e-05	0.0	0.0	0.0	0.0	0.0064267387025573885	0.0	0.003200611405024145	0.0
любовь	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062005501170886546	0.0	0.0	0.0028097260283566072	0.0	0.0012191805084247331	0.0
маньяк	0.0	0.00016826547973902706	0.0	0.0	0.0	0.0	0.00027921387473606174	0.0	0.0	0.0	0.00045120818524335693	0.02278771809698199	0.0	0.0027934378029206286	0.0
монстр	0.0	0.0010985258687248312	0.0	0.0	0.0	0.0	0.0003709741098756325	0.0	0.0	0.0	0.0	0.011279847499307882	0.0	0.010772420925207471	0.0
наволочка	0.0	0.001815662154795561	0.0	0.0	0.0	0.0	0.0008695036816424029	0.0	0.0	0.0	0.0	0.059762497425239536	0.0	0.011220029059253345	0.0
название	0.0	0.0	0.0	0.0	0.0	0.0	0.00029067419553296947	0.0	0.0	0.0	0.0	0.018977149682709804	0.0	0.010517437570987442	0.0
наложение	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29004951014732405	0.0	0.27236821133624967	0.0
облако	0.0	0.0	0.0	0.0	0.0	0.0	0.0016508286646206294	0.0	0.0	0.0	0.00010237161885140456	0.0029121111869377936	0.0	0.006021976177006727	0.0
обоснование	0.0	0.0	0.0	0.0	0.0	0.0	4.225301589100283e-05	0.0	0.0	0.0	0.0	0.027201065497914345	0.0	0.02318724643784209	0.0
огонь	0.09204061549954845	0.0	0.0	0.0	0.0	0.0	0.00014879278221036074	0.0	0.002559034290544604	0.0	0.0	0.0018908660122178844	0.09204061549954845	0.0021739758962409095	0.09204061549954845
памятник	0.0	0.0001299314482970937	0.0	0.0	0.0	0.0	0.004541516526631817	0.0	0.0	0.0	0.0	0.0029758385503959595	0.0	0.0010642178765973842	0.0
пафос	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007511976039908608	0.0	0.0041479072699797115	0.0
писк	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035370542387969106	0.014340031159960631	0.0	0.019083770593737892	0.0
план	0.0	0.0	0.0	0.0	0.0	0.0	0.009239809061921345	0.0	0.0	0.005624263460719314	0.0	0.014024562561784193	0.005624263460719314	0.027696709687674237	0.005624263460719314
поколение	0.0	0.0	0.0	0.0	0.0	0.0	0.006838603077807703	0.0	0.0	0.0	0.0	0.004576464554752913	0.0	0.0021741165038624555	0.0
половинка	0.0	0.0	0.0	0.0	0.0	0.0	0.0008723781499936356	0.0	0.0	0.0	0.0003099406262513371	0.016274324996626954	0.0	0.0004030834246638859	0.0
полоса	0.0	0.0	0.0	0.0	0.0	0.0	0.0009252339122099995	0.0	0.0	0.0	2.108238939746432e-05	0.011281455669379326	0.0	0.02026237289636168	0.5380655811630315
полость	0.0	0.0	0.0	0.0	0.0	0.0	0.0023327460834895453	0.0	0.0	0.0	0.0	0.0402282969370541	0.0	0.051135293855693265	0.0
полукруг	0.0	0.000534826133469446	0.0	0.0	0.0	0.0	0.00011772745593086054	0.0	0.0	0.0	0.0	0.003660322619208789	0.0	0.002831423883714712	0.0
понедельник	0.0	5.837447332635026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0664998457772148	0.0	0.06256692045464796	0.0
поставщик	0.0	0.0	0.0	0.0	0.0	0.0	0.024003165265728987	0.0	0.0	0.0	0.0	0.04020819230774242	0.0	0.037634804612542316	0.0
поэзия	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017557836514571212	0.0	0.0005166218139980305	0.0
правда	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008872703028552364	0.0	0.005816855861908055	0.0
предательство	0.0	0.0	0.0	0.0	0.0	0.0	4.4877344717697554e-05	0.0	0.0	0.0	0.0	0.0032307987467437016	0.0	0.005054862951915595	0.0
прецедент	0.0	0.0003918119179662227	0.0	0.0	0.0	0.0	0.014742718723103843	0.0	0.0	0.0	0.0	0.08748537073367257	0.0	0.019902920434202498	0.0
проникновение	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01791175089135877	0.0	0.00478829712342288	0.0
прорыв	0.0	0.0	0.0	0.0	0.0	0.0	0.0016723411338628313	0.0	0.0	0.0	0.0	0.06620262221611084	0.0	0.08309263599477656	0.0
путь	0.011936961694593129	0.0	0.007085091962717449	0.0	0.0	0.0	5.6354377475642536e-05	0.030502430819528636	0.0	0.0	0.0	0.004279196886731507	0.0	0.001532010007839535	0.0013785022808313618
размышление	0.0	0.0	0.0	0.0	0.0	0.0	0.002303171667645154	0.0	0.0	0.0	0.0	0.0011696390520709032	0.0	0.0011290394553625793	0.0
ранец	0.0	0.0013854050187912526	0.0	0.0	0.0	0.0	0.009213755160232928	0.0	0.0	0.0	0.0	0.033283614888466095	0.0	0.010079817223831777	0.0
расчет	0.0	0.0	0.013515107538189408	0.0	0.0	0.0	0.024771906123575937	0.0	0.0	0.0	0.0	0.05151226794515251	0.0	0.054152423547292106	0.0
риторика	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1240365850605514e-06	0.05259155612751221	0.0	0.009191455327310694	0.0
роспись	0.013606076167856251	0.0	0.0	0.0	0.0	0.0	0.0019880304920882885	0.0	0.0	0.0	0.0	0.005843767571092173	0.013606076167856251	0.0077234540534913965	0.0
сверстник	0.0	0.0	0.0	0.0	0.0	0.0	0.0010148545460106906	0.0	0.0	0.0	0.0	0.023047633649391663	0.0	0.016878246464586022	0.0
связка	0.0	0.0	0.0	0.0	0.0	0.0	0.00019028454902392244	0.0	0.0	0.0	0.0	0.018011724972965992	0.0	0.023979994724838694	0.0
собрат	0.0	3.985319731680814e-05	0.0	0.0	0.0	0.0	0.0011875056239989412	0.0	0.0	0.3273272060036876	0.0	0.014840140570408389	0.3273272060036876	0.008371053225499137	0.3273272060036876
совершенство	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000731384875136909	0.0	0.010287454967515597	0.0
советчик	0.0	0.0	0.0	0.0	0.0	0.0	0.0012606897529551242	0.0	0.0	0.0	0.0	0.01790881960634383	0.0	0.005689222931431925	0.0
союзник	0.0	0.0	0.0	0.0	0.0	0.0	0.008435544470286938	0.0	0.0	0.0	0.0	0.04920260318049463	0.0	0.005619861232579626	0.0
список	0.0	0.0	0.0	0.0	0.0	0.0	0.011255930350774324	0.0	0.0	0.0	0.0	0.012576557639034425	0.0	0.005861221675415473	0.0
ссылка	0.0	0.0	0.0	0.0	0.0	0.0	0.018589971076372724	0.0	0.0	0.0	0.0	0.02708707217375983	0.0	0.03497472732592177	0.0
стена	0.0011755668600815783	0.0	0.0	0.0	0.0	0.0	0.0005952590728031115	0.0	0.0	0.0011755668600815783	0.0	0.0021971991136475744	0.0011755668600815783	0.004258924570039957	0.0011755668600815783
стипендия	0.0	0.0	0.0	0.0	0.0	0.0	0.026460051182629396	0.0	0.0	0.0	0.0	0.024839444287175105	0.0	0.0012703625920340578	0.0
стол	0.06551226507103192	0.0	0.0	0.0	0.0	0.0	0.00022085503002322593	0.0	0.0	0.0	0.0	0.0009788590331520908	0.0	0.005228375912675665	0.0
тачка	0.0	0.0	0.0	0.0	0.0	0.0	0.009119469748651743	0.0	0.0	0.0	0.0004411353522900674	0.021773494831101803	0.0	0.011231825731002898	0.0
тупик	0.0	0.0001096049131179555	0.0	0.0	0.0	0.0	0.0005148287414301622	0.0	0.0	0.0	0.0	0.0015031566972861787	0.0	0.0031134067627889284	0.0
увольнение	0.0	0.0	0.0	0.0	0.0	0.0	0.0010071609362447553	0.0	0.0	0.0	0.0	0.004127167614122684	0.0	0.020704821502920412	0.0
углеводород	0.0	0.0	0.0	0.0	0.0	0.0	0.005363225545741868	0.0	0.0	0.0	0.0	0.019232552293461103	0.0	0.020074713666720867	0.0
удобство	0.0	0.0	0.0	0.0	0.0	0.0	0.010122613555620052	0.0	0.0	0.0	0.0	0.01285246150971342	0.0	0.005148991979651574	0.0
уклад	0.0	0.0	0.0	0.0	0.0	0.0	0.0009890608915437138	0.0	0.0	0.0	0.0	0.021570826467948057	0.0	0.001577227365921141	0.0
университет	0.062378383766924395	0.0	0.02120937474713125	0.0	0.0	0.0	0.0008652718675318249	0.0	0.0	0.0	0.0	0.004499450231176039	0.0	0.009947913073184544	0.062378383766924395
установление	0.0	0.0	0.0	0.0	0.0	0.0	0.0007701760572720318	0.0	0.0	0.0	0.0	0.04279560306244623	0.0	0.006728428790624852	0.0
фаворит	0.10557280900008414	0.0004175607029615058	0.0	0.0	0.0	0.0	0.009401618313923943	0.0	0.0	0.05131670194948623	0.0	0.03019536251891708	0.05131670194948623	0.019886630436780073	0.3291796067500631
формат	0.0	0.0	0.0	0.0	0.0	0.0	0.009129046434035115	0.0	0.0	0.0	0.0	0.014794107734610318	0.0	0.17438123056274313	0.0
формула	0.0	0.0	0.0	0.0	0.0	0.0	0.010214725409531167	0.0	0.0	0.0	0.0006402648362369145	0.031646543805833094	0.0	0.02875965591128138	0.0
хозяйка	0.0	0.0010090911416000825	0.0	0.0	0.0	0.0	8.063021103010826e-07	0.0	0.0	0.0	0.0	0.004347516488284908	0.0	0.002458418719291866	0.0
хор	0.0	1.2895995473716226e-06	0.0	0.0	0.0	0.0	0.0005459763182324995	0.0	0.0	0.0	0.0	0.008413818214826563	0.0	0.008997035200635772	0.0
хрен	0.0	0.00018175090856131781	0.0	0.0	0.0	0.0	0.004890506576217923	0.0	0.0	0.0	0.0037269677619146124	0.006887476011290028	0.0	0.021062256106883503	0.0
цензура	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01981874779080317	0.0	0.003990825059853931	0.0
центр	0.0	0.0	0.0	0.0	0.0	0.0	0.0005124047248076247	0.0	0.0	0.0	0.0	0.03157984334782782	0.0	0.015418185587568023	0.0
цифра	0.0	0.0	0.0	0.0	0.0	0.0	0.002386609081763469	0.0	0.0	0.0	0.0	0.01768243961776661	0.0	0.01502101222419372	0.0
частица	0.0	0.00028698017168971024	0.0	0.0	0.0	0.0	0.012165050189315796	0.0	0.0	0.0	0.0	0.020981837552487392	0.0	0.020039863109045042	0.0
чек	0.0	4.620284791800877e-05	0.0	0.0	0.0	0.0	0.01703138934691384	0.0	0.0	0.0	0.018248600923593594	0.005623001743428002	0.0	0.010101439432949055	0.0
штаб	0.0	0.0	0.0	0.0	0.0	0.0	4.317963134092828e-05	0.0	0.0	0.0	0.0	0.0006787603019441368	0.0	0.001769347411042843	0.0
эшелон	0.0	0.0	0.0	0.0	0.0	0.0	0.0018550576943074937	0.0	0.0	0.0	0.0	0.00841338586242224	0.0	0.025314358601097764	0.0
юбилей	0.24074339763470343	2.994082435092693e-05	0.0	0.0	0.0	0.0	0.0002606082011248345	0.0	0.0	0.0	7.983806403211169e-06	0.010272866108011591	0.186266528793265	0.009636090838511246	0.24074339763470343
ядро	0.0	0.0	0.0	0.0	0.0	0.0	0.002430229681526175	0.0	0.0	0.0	2.5220613618093246e-05	0.0023593865732498553	0.0	0.0013847680746037483	0.0
ясли	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016658824043391807	0.017994057865478807	0.0	0.0077200621057705865	0.0
