Word	Case	Animacy	Gender	Person	Number	Voice	syntax	Degree	Aspect	Foreign	VerbForm	Variant	Polarity	Tense	Mood
железо	0.01621516287621283	0.0	0.000511816424353051	0.0	0.0	0.0	0.014494648152988954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
жесть	0.0031063975651366427	0.0	0.0	0.0	0.0	0.0	0.05072886135567478	0.0	0.08085496998194219	0.0	0.0	0.0	0.0	0.0	0.0
живот	0.03466035195301154	0.0007567623309365779	0.002097085498344309	0.0	0.0007801786749541684	0.0	0.031292382609756864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
заблуждение	0.04494683008691258	0.0	0.0	0.0	0.002135706457958686	0.0	0.003389519024665999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
издательство	0.0451797168641519	0.0	0.0	0.0	0.0018831078674117485	0.0	0.0038286179989170943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
итальянец	0.0016513410087453106	9.912937360967433e-07	0.0	0.0	3.7591739144859915e-06	0.0	0.0016202443194003324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
кабан	0.016943417020351736	0.0006572299235534373	0.0	0.0	0.005806350437380869	0.029857499854668013	0.013092598101189235	0.0	0.0	0.0	0.029857499854668013	0.0	0.0	0.029857499854668013	0.0
карман	6.437034080086779e-05	0.0	0.00011729147822037156	0.0	0.002384261833945245	0.019419324309079777	0.0006993653073539274	0.0	0.0	0.0	0.019419324309079777	0.0	0.0	0.019419324309079777	0.0
крушение	0.022356593996260332	0.0	0.0	0.0	1.3506131690266265e-05	0.0	0.046141410844012465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
крыша	0.006071404147606985	5.080801758849951e-05	7.587156531541073e-05	0.0	0.0017860118268470115	0.0	0.004322479892701292	0.09381686000473466	0.0002545926521230202	0.0	0.006654263966801577	0.0	0.0	0.0002545926521230202	0.0
кулиса	0.01941932430907989	0.0	0.04217371477884857	0.0	0.0	0.0	0.06973949058093654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
лечение	0.0006577592702086132	0.0	0.0	0.0	0.0	0.0	0.005869740755957253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
линейка	0.00636655610419945	0.0	0.0	0.0	0.0023772387455434085	0.0	0.0020853991899567603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
лишение	0.006590178821264003	0.0	0.0	0.0	0.0002998738498584119	0.0	0.012978674551411218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
локоть	0.009901949120423859	0.0	0.0010326088204379857	0.0	0.0047536599916949696	0.0	0.0005201489594874875	0.0	8.056721404059441e-05	0.0	0.000297626908337123	0.0	0.0	0.00012876349651336216	0.0
любовник	0.0215874706737329	0.00023029439578059474	0.0	0.0	0.0012525808963776974	0.0	0.029334832615917517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
любовь	0.009277122070767807	0.0	0.0	0.0	0.0	0.0	0.0021463474151290907	0.0986148885775271	0.0	0.0	0.0	0.0	0.0	0.0	0.0
маньяк	0.01147506277601884	0.02264455559530154	0.0	0.0	0.011870214507303856	0.0	0.098597389120747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
монстр	0.039144801036724575	0.001483700442040492	0.0009489316371648071	0.0	0.004457081679628105	0.0	0.07780225542028085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
наволочка	0.1009421278285425	0.0	0.0	0.0	0.010945988869123902	0.0	0.052135888085715565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
название	0.00953511979791477	0.0	0.0	0.0	0.001413837779985716	0.0	0.003329786539279178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
наложение	0.032727954534300996	0.0	0.0	0.0	0.0	0.0	0.029753739119959155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
облако	0.001701715463031217	0.0	3.4164320890983646e-05	0.0	2.793195629902101e-05	0.0	0.010346080407597658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
обоснование	0.027338761899528996	0.0	0.0	0.0	7.775850292834896e-05	0.0	0.02072687107360871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
огонь	0.004878095395750903	0.0	0.0	0.0	9.802074985021392e-07	0.0	0.01624837753064079	0.0016434238913222154	0.0437702019801095	0.0	0.0437702019801095	0.0	0.0	0.0437702019801095	0.0
памятник	0.0020643668602364773	0.00028927857281602076	0.0	0.0	0.0003989033849972623	0.0	0.0006153113146682987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
пафос	0.020597284428200413	0.0	0.0	0.0	0.0	0.0	0.012709018446736109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
писк	0.014631418087438064	0.0	0.00040495264743101167	0.0	0.0	0.0	0.04341314472649194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
план	0.004133996313927302	0.0	0.0	0.0	0.0012193250589215276	0.10419537410650748	0.006174042121835921	0.0	0.0	0.0	0.10419537410650748	0.0	0.0	0.10419537410650748	0.0
поколение	0.005946478991232129	0.0	0.0	0.0	8.028013634642228e-06	0.0	0.010183706768613576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
половинка	0.031054907008078447	0.0	0.0016034957852516518	0.0	0.0003709264646901689	0.0	0.008502536570529462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
полоса	0.02583388842456369	0.0	0.0007296826763379949	0.0	0.0004368244346659722	0.0	0.01394491642527429	0.0	0.0	0.0	0.0	0.0	0.0	0.06551226507103192	0.0
полость	0.013206946895960359	0.0	0.0	0.0	0.009079235351044823	0.0	0.010382079598798333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
полукруг	0.004377967908018476	0.00025756367602003394	0.0	0.0	1.769721069178054e-05	0.0	0.0036028251065249872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
понедельник	0.08093460033097388	6.259074074144166e-06	0.0	0.0	5.392891228539476e-05	0.0	0.11920002369937954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
поставщик	0.0012670185861735073	0.0	0.0	0.0	0.009108779651758825	0.0	0.0369551337286399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
поэзия	0.006534753027841678	0.0	0.0	0.0	0.0	0.0	0.008359665209066836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
правда	0.004001015483773407	0.0	0.0	0.0	0.0	0.0	0.02870883360597354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
предательство	0.005778283545001539	0.0	0.0	0.0	1.0474355722323025e-05	0.0	0.00939631300336441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
прецедент	0.022749361821405745	0.0044233521639663875	0.0	0.0	0.007945725670498782	0.0	0.02498585927975283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
проникновение	0.012719710862890476	0.0	0.0	0.0	0.0	0.0	0.02113410704290275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
прорыв	0.08320352833798694	0.0	0.0	0.0	0.0014384484668793496	0.0	0.05890817958610817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
путь	0.0187718197146185	0.0	0.0	0.11742572639647009	0.0005790605814590677	0.0	0.005567634111438569	0.0	0.03401128904856132	0.0	0.07504116713078202	0.0	0.0	0.03867929513792778	0.003281975981392238
размышление	0.016429338126601967	0.0	0.0	0.0	0.03878964673173613	0.0	0.01681668160912142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ранец	0.015077314714982748	0.005298700864299288	0.0	0.0	0.0643484737207638	0.0	0.026285395603899753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
расчет	0.020958895615810658	0.0	0.0	0.0	0.005126339974223182	0.0	0.019292983472377068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
риторика	0.011724223924808097	0.0005108319403581696	0.0055580138898337905	0.0	0.0015417247972171477	0.0	0.008847445302176737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
роспись	0.06151667137317274	0.0	0.0	0.0	0.004679585909672657	0.0	0.01522809075343523	0.0	0.04552002196497029	0.0	0.04552002196497029	0.0	0.0	0.0	0.0
сверстник	0.026428836736261063	0.0	0.0	0.0	1.392671253030997e-05	0.0	0.025264983603123903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
связка	0.022893850214298572	0.0	0.0	0.0	0.009300978141037364	0.0	0.024032093583150504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
собрат	0.011822149328708065	0.009207682214073198	0.0	0.0	0.05551541577877317	0.38605938648507954	0.00812204589802068	0.0	0.0	0.0	0.38605938648507954	0.0	0.0	0.38605938648507954	0.0
совершенство	0.015359483345030123	0.0	0.0	0.0	0.002701814893726784	0.0	0.009999650964344076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
советчик	0.00985532236318254	0.0	0.0	0.0	5.336593944527124e-09	0.0	0.013228860005592313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
союзник	0.009445277237370209	0.0	0.0	0.0	0.012468536555135357	0.0	0.027397009982618292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
список	0.005320289861656113	0.0	0.0	0.0	0.004936822992543055	0.0	0.0037240148629099634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ссылка	0.00994058298453493	0.0	0.0	0.0	0.0010672976766965547	0.0	0.0016649160127476526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
стена	0.0009114366919590333	0.0	0.0	0.0	0.009081600841027382	0.000295995867434784	0.0005398421601763292	0.0	0.000295995867434784	0.0	0.000295995867434784	0.0	0.0	0.000295995867434784	0.0
стипендия	0.03655893576035463	0.0	0.0	0.0	0.06553650123361687	0.0	0.07763443411360738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
стол	0.003925147533929696	0.0	0.0	0.0	0.00028544226639481973	0.0	0.00031754628787183936	0.0	0.024558997932293436	0.0	0.0	0.0	0.0	0.0	0.0
тачка	0.06611054395239091	0.0	0.0007853495069748417	0.0	0.0008406196758404816	0.0	0.04957440843254168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
тупик	0.11121239227611157	0.0008601824211699194	0.0	0.0	0.005733409480447205	0.0	0.02414542258869523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
увольнение	0.01867093595496705	0.0	0.0	0.0	0.0	0.0	0.010218760379180791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
углеводород	0.0045692866461694015	0.0	0.0	0.0	0.15452408537780105	0.0	0.004973352230154382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
удобство	0.018870135229997698	0.0	0.0	0.0	0.023215135845559898	0.0	0.0161284181731155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
уклад	0.012205618413495212	0.0	0.0	0.0	0.0	0.0	0.0088702349365134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
университет	0.003035940066108078	0.0	0.0	0.02120937474713125	0.0012930665426437171	0.0	0.0007498840746795743	0.0	0.0882660566937129	0.0	0.0	0.0	0.0	0.0882660566937129	0.0
установление	0.008000402468506862	0.0	0.0	0.0	0.022689831518491244	0.0	0.007782485983831022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
фаворит	0.007839600165369442	0.008906388025160639	0.0	0.0	0.005071265185595197	0.0	0.015719993044738256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
формат	0.01720733804915031	0.0	0.0	0.0	0.0021602964600727637	0.0	0.003122830539634691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
формула	0.018754827603766233	0.0	0.001231897843808727	0.0	0.0030813446920455734	0.0	0.02960130018007734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
хозяйка	0.0015487794916434483	0.00012044224520457725	0.0	0.0	0.0003971365537697169	0.0	0.00352900861918215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
хор	0.004583552305350236	8.300760719337497e-06	0.0	0.0	0.003140595922257794	0.0	0.003343160908114262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
хрен	0.17630150420621793	0.004854785803391826	0.04077477622657566	0.0	0.00037030274545746256	0.0	0.19499172039518575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
цензура	0.0018254817124914169	0.0	0.0	0.0	0.0	0.0	0.0021055828879295024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
центр	0.019642916174575697	0.0	0.0	0.0	0.004507859574127471	0.0	0.006533388225555825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
цифра	0.00045808212542430837	0.0	0.0	0.0	0.007853436275773062	0.0	0.005061683726648725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
частица	0.03424119243982249	0.0001876817423316357	0.0	0.0	0.09978472554708873	0.0	0.010721330847109578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
чек	0.021866571105501276	0.004194010137878568	0.008526181580200576	0.0	0.031065483984296094	0.0	0.001477597057403579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
штаб	0.006114492084154377	0.0	0.0	0.0	0.0021621266039731912	0.0	0.007224733095844482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
эшелон	0.08173573370849307	0.0	0.0	0.0	0.01894147832870574	0.0	0.028985416162586874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
юбилей	0.04105683921993897	6.0747394976523594e-06	2.4851475115550414e-06	0.0	3.074256405000142e-10	0.0	0.019959625348104137	0.0	0.186266528793265	0.0	0.186266528793265	0.0	0.0	0.30251416753708427	0.0
ядро	0.02892969727903949	0.0	0.002988760748382502	0.0	0.01090752015567431	0.0	0.041103285262720446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ясли	0.000511433264997363	0.0	4.324945396139146e-05	0.0	0.0	0.0	0.03311966636700947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
